"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
500,-,8,Amd,Hp,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hbmcg.html,50 €,A8 pro-7600b
1000,-,32,Intel uhd730 4gb ddr4 dx12,H610 fsb8000mts usb/sata3 ddr4,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfkxd.html,539 €,Core i5-13400
1000,-,16,Radeon Vega Rdna2:shading Units:716 Ddr5,A620 am5 9200mts pcie4.0 ddr5,5000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fmjnh.html,969 €,Ryzen7 7800xd
1000,-,8,Nvidia gt640m,Apple Imac,2700,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fdjmk.html,160 €,Core i5
1000,-,16,Geforce rtx 3050 8gb,Socket 1700/ddr4/usb 3.2,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fhmph.html,799 €,I5-13400F
1000,-,16,Amd rx 580 8gb,Gigabyte ab350m,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dggxm.html,400 €,Ryzen 5 1600
2000,-,16,Geforce rtx4060 8gb gddr6,Intel H310 Fsb8000Mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pxilx.html,789 €,Core i7-9700K
256,-,16,Intel hd530,Lenovo Thinkcentre m900,3100,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dklff.html,160 €,Core i5-6500T
4,Blue-ray-RW,500,Geforce gtx 1050 ti,Sn 2022 616854,3.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hhbxh.html,600 €,Intel Core i3
1000,-,16,Geforce Rtx 2060 Super 8Gb,Msi b460m-a pro,5.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/opbnk.html,775 €,I9 10850Kf
1000,-,16,Radeon Rx Vega 8 Core Ddr4,A320 am4 fsb9200mts,3800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eddcg.html,349 €,Ryzen5 3400G
80,DVD,1,Da,Da,3,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gidgb.html,50 €,Da
931,DVD-RW,4,Intel hd graphics 4400,Asrock,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/epjpp.html,60 €,Intel Core I3
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,5000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpfin.html,499 €,Core i9-9900K
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxddl.html,,
,,,,,,,"Daugavpils un raj., Daugavpils",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmoekh.html,15 €,
,,,,,,,"Rēzekne un raj., Rēzekne",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bndghb.html,15 €,
,,,,,,,"Rēzekne un raj., Rēzekne",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxodk.html,15 €,
,,,,,,,"Madona un raj., Madona",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bneeno.html,15 €,
256,DVD-RW,8,Intel Uhd Graphics 630,Dell,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlxjf.html,110 €,Pentium Gold
1000,-,32,Geforce rtx3060 12gb gddr6,H410 fsb4800mts usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eboxg.html,889 €,Core i7 10700
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bncmxn.html,,
320,DVD-RW,8,Intel Hd Graphics,Hp,3.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hdcii.html,60 €,Intel i3-4150
480,DVD-RW,8,Intel Hd Graphics 530,Fujitsu,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eecbo.html,145 €,Intel i5-6500
120,-,4,Intel Hd Graphics 4400,Lenovo,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkdii.html,65 €,Pentium G3220
1000,CD,8,Nvidia geforce gtx 1050 ti,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dlpej.html,210 €,Intel Core i7
240,DVD-RW,8,Intel Uhd Graphics 630,Dell 0vd92x,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpjfi.html,225 €,I3-10100
500,-,16,Nvidia geforce gtx 1660 ti 6gb,Gigabyte h510m s2h v2,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxbcp.html,379 €,Intel Core i3
1000,-,32,Geforce rtx3050 8gb gddr6 hdmi,H410 fsb8000mts usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpnhhx.html,979 €,Core i9-11900
500,-,32,Geforce rtx 4070 12gb,Lga1700/ddr4/usb3.2/sa ta3,5.80,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejboo.html,1 599 €,I9-13900Kf
146,CD,16,Foto,Foto,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcffb.html,50 €,2x intel xeon
1000,-,16,Intel hd630 4gb ddr4,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/egoxn.html,359 €,Core i7 7700
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bncdjn.html,,
512,-,16,Msi aero itx rtx 3050 8gb oc,Asus prime b450m-k ii,4.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbomi.html,499 €,Ryzen 5 3600
512,-,16,Msi aero itx rtx 3050 8gb oc,Msi h510m plus v3,4.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkxnh.html,499 €,I5 10400F
1000,-,32,Radeon vega rdna2 ddr5,A620 fsb 8000mts am5,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddlmk.html,769 €,Ryzen5 7600X
2000,-,32,Geforce rtx4090 24gb gddrx,B660 Gaming Ddr5,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bknpfb.html,3 289 €,Corei5-13400F
512,-,16,Rtx3070,B650m k,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxdhi.html,819 €,Ryzen 5 7600x
512,-,16,Rtx3060,Msi h610m-e pro,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkcpb.html,549 €,I3-12100f
620,DVD-RW,8,Intel,Intel,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hgngx.html,35 €,Intel G4400
120,-,8,Radeon Hd 8570D,Lenovo,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxbkn.html,30 €,Amd a8-6500b
370,DVD-RW,8,Intel,Hp,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcxed.html,30 €,I3-2120
128,-,8,Integrēta videokarte: Radeon R7,Amd,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/egpgj.html,50 €,A10-8770E
1000,-,32,Geforce gt730 4gb gddr5,H410 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kghng.html,599 €,Core i9-10900
500,-,16,Geforce gtx 1650 4gb,B450/socket am4/ddr4/usb 3.0,4.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eljck.html,599 €,Ryzen 5 4500
1000,-,16,Geforce Gtx1650 4Gb Gddr5 6000Mhz,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dnmhk.html,559 €,Core i7-7700
1000,-,32,Geforce rtx4060 8gb gddr6,Intel H410 Fsb8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gxpbd.html,979 €,Core i9-11900
1000,-,16,"Intel uhd770 graphics on 4gb ddr4, dx12",New h610 fsb8000mts,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pknbe.html,739 €,Core i9-12900
500,DVD-RW,4,Radeon hd6750m,Apple Imac,2500,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hhkxg.html,100 €,Core i5
1000,-,16,Geforce Rtx4060 Ti 8Gb Gddr6,H610 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/phjix.html,969 €,Core i5-12500
1000,-,16,Geforce rtx 4060ti 8gb,Lga1700/ddr4/usb3.2/sa ta3,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/demfi.html,998 €,I5-13400F
240,-,8,2,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pogdm.html,140 €,Core i5-6400
64,DVD-RW,4,2,Intel,2.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/doioj.html,99 €,Core i5-3333
1000,-,8,Amd radeon hd 5770 1gb,Motherboard,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dcfmh.html,99 €,I3-610
250,DVD,8,Amd radeon hd 7750 4gb,Motherboard,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/exomx.html,80 €,Intel Core i3
600,-,12,Gtx 1050ti 4 gb oc,Fujitsu d3400-b,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpmmo.html,160 €,I3-6100
750,CD-RW,2,Geforce 210,Asus,2200,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gikhf.html,70 €,Amd phenom
256,-,8,Intel hd,Hp,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dcmnb.html,165 €,I5-4590T
1000,-,16,Geforce Gtx1650 4Gb Gddr5 8000Mhz,H610 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eonib.html,679 €,Corei5-13400F
620,-,8,Intel hd,Hp,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/egjmc.html,190 €,I5-7500
500,DVD-RW,8,Intel hd,Dell,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ibgph.html,125 €,I5-4670S
500,-,8,"Intel Hd Graphics 530, Amd Radeon R7 200",Hp elitedesk 800g3,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fknef.html,189 €,Corei5-6500
500,-,8,"Intelhdgraphics530, nvidiageforcegt7304gb",Hp elitedesk800g2,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dcflx.html,252 €,Corei5-6500
320,-,8,"Intel Hd Graphics 530, Amd Radeon R7 200",Hp elitedesk 800g2,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dkdke.html,211 €,Corei5-6500
1000,-,32,Geforce rtx3070 8gb gddr6,H410 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/londm.html,1 099 €,Core i9-11900
512,-,16,Gigabyte gaming oc rtx 3070 8gb,Gigabyte H510M H,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hooik.html,730 €,I5 11400F
1000,DVD-RW,8,Hd7750-1Gd5-V2 1gb,Asus,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpgbn.html,135 €,Intel i5-4440
256,-,8,Intel Uhd Graphics 630,Dell 03rt16,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfhmi.html,499 €,I5-10500T
380,-,12,Amd radeon 6700xt,Gigabyte B450 Gaming X,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfmpf.html,510 €,Amd ryzen 3
1000,-,16,Radeon Vega 7 on 4Gb/shading Units 716,Amd a320 fsb9200mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kmocn.html,379 €,Ryzen5 4600G
320,DVD-RW,8,Intel hd graphics pro,Asrok pro,3600,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/hedjj.html,75 €,I3-4160
480,DVD,16,Nvidia gtx 680,Asus b85m-g,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gnmif.html,170 €,I7-4770
,,,,,,,"Daugavpils un raj., Daugavpils",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmpeom.html,,
1000,DVD-RW,16,Radeon rx580 8gb gddr5,Z77 fsb4800mts,3800,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpmxn.html,139 €,Core i5-3470K
465,-,10,Iebūvētā videokarte,Micro atx,3550,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kpgho.html,150 €,Intel Core i5
1000,-,16,Geforce rtx3050 8gb gddr6,H110 fsb8000mts usb/sata3,4300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gedgb.html,599 €,Core i7 7700
1000,-,16,Geforce rtx 4060ti 8gb,B450/am4/ddr4/usb3.2/s ata3,4.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejkdm.html,1 099 €,Zen 7 5800x3d
1000,DVD,6,Iebūvēts,Hp,2.27,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eoobb.html,45 €,Intel Xeon
144,-,131,Iebūvēts,Hp,2.93,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gecek.html,155 €,Intel Xeon
292,-,16,Iebūvēts,Hp,2.93,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/feedg.html,75 €,Intel Xeon
240,-,8,Intel Hd Graphics,Dell,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eepgc.html,160 €,I5-6500T
1,-,131,Iebūvēts,Cisco,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fdgbm.html,185 €,Intel Xeon
,,,,,,,"Rīga, Ķengarags",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxchj.html,,
,,,,,,,"Rīga, Pārdaugava",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxmnf.html,,
1000,-,32,Asus dual oc rtx 4060 ti 8gb,Asus Prime B660M-A,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/knbnc.html,1 040 €,I5 13400F
512,-,16,Msi ventux 2x rtx 3070 8gb oc,Gigabyte H510M H,4.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/elxkk.html,699 €,I5 11400F
128,-,16,Nvidia geforce gtx2060,Msi b85m-g43,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kgijd.html,350 €,I5 4430
1000,-,16,Intel uhd750 4gb ddr5,H110 fsb4800mts,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbpcc.html,779 €,Core i9-12900
1000,-,16,Radeon Rx Vega 8 Core Ddr4,A320 am4 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxbfm.html,499 €,Ryzen 7 4700G
360,-,19,Geforce gtx 780,Asrock B85M Pro 4,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/opfxg.html,330 €,I5-4570
512,-,16,Gtx 1660 super 6gb,Lenovo Legion,4.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ggdhf.html,670 €,Ryzen 5 5600G
3000,-,64,Geforce rtx4090 24gb gddrx,Z790 gaming ddr5 wifi,5400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpiih.html,3 999 €,Core i7-13700
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmofeo.html,,
500,DVD-RW,6,Nvidia Gt520 1Gig,Lga1155,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dldeg.html,90 €,I3
250,DVD-RW,6,Hd graphics 4400 2gb 128-bit,Asus,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ibgbj.html,80 €,I3 4160
16,-,16,Yes,Core,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fbplg.html,400 €,Quad - Core5
2000,-,16,Geforce rtx3050 8gb gddr6 14000mhz,A620 am5 fsb9200 ddr5,5300,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lnjdg.html,969 €,Ryzen 5 7600X
628,-,16,Hd 7660d,Amd,3.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dphfb.html,80 €,A10-5800B
1000,-,32,Intel Uhd770 4Gb Ddr5 5600Mhz,Intel B760 chipset Ddr5 Pce5.0,5800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emxkm.html,1 319 €,Core i9-13900
1000,-,16,Geforce rtx 4060ti 8gb,B450/socket am4/ddr4/usb 3.0,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fexio.html,998 €,Ryzen 5 5600X
1.20,-,24,Nvidia geforce gt 755m,Apple,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ghmen.html,495 €,Core i5
1000,-,16,Geforce Gtx1650 4Gb Gddr5 8000Mhz,H410 fsb8000mts usb/sata3,4800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lnkho.html,629 €,Core i7-10700
400,DVD,16,Gtx1050,Dell,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gexxm.html,170 €,I5-4670
12,-,4,Nezinu,Asus,2.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gjefe.html,35 €,Nezinu
1000,-,16,Intel uhd730 4gb ddr4,H610 fsb8000mts usb/sata3,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpfxx.html,489 €,Core i5-13400
2000,DVD-RW,12,Intel hd,Asus,3200,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ecdkh.html,275 €,Core i5
1000,-,16,Geforce gt730 4gb gddr5,H410 fsb8000mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/pnigd.html,639 €,Core i9-11900
250,DVD-RW,4,Radeon hd5570 1gb gddr3,Asrock h61m-s,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbdjc.html,40 €,Intel Celeron
500,-,16,Geforce rtx 3050 8gb,Socket 1700/ddr4/usb 3.2,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ddkhd.html,799 €,I5-13400F
1000,-,16,Geforce gt1030 2gb gddr5,B81 fsb4000mts,3900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gpjkd.html,399 €,Core i7 4771
80,CD-RW,1.50,Geforce 6200,Intel d101ggc,2.66,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/alnnx.html,20 €,Intel Pentium
256,DVD-RW,8,Intel Hd Graphics 530,Fudji,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/enhhl.html,90 €,I5 7500
3000,-,32,2 x msi gtx 1080ti 11gb,Msi x370 xpower gaming titaniu,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kixkx.html,850 €,Ryzen 7 1800X
256,-,8,Intel Hd Graphics 530,Is1Xx1H For Lenovo,2.50,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ehkoj.html,315 €,I5-6500T
,,,,,,,"Rīga, centrs",Darbadienas,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnxkmk.html,25 €,
1000,-,16,Geforce gtx 1060,Asus prime x310m-k r2.0,4.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kpfoc.html,350 €,I3 9100F
512,-,32,Firepro,Xeon E5,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpxgn.html,800 €,Intel
500,-,16,Geforce rtx 3050 8gb,H510/socket 1200/ddr4/usb 3.0,4.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/glgol.html,699 €,I5-10400F
1000,-,16,Geforce rtx3060 12gb gddr6,Intel H410 8000Mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bbkkpx.html,879 €,Core i7 11700
1000,-,16,Asus rog strix 1080 8gb,Asus z170 pro gaming,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fnmhf.html,890 €,I7 6700k
500,DVD-RW,6,Uhd,Nvidia Gforce Gtx 1060,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fbgkx.html,180 €,Intel Core i5
1,-,8,Uhd,Intel Uhd Graphics,2.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/cdlfm.html,320 €,Intel Pentium
128,DVD-RW,32,Nvidia nvs 310,Hp z420,2.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mbfce.html,100 €,Xeon E5-2670
,,,,,,,"Rīga, Cits",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bncxhc.html,,
500,DVD-RW,8,Intel Hd Graphics 4600,Lenovo,2.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/eoglb.html,90 €,I5-4439S
1000,-,16,Intel hd530 4gb ddr3,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/kicnc.html,359 €,Core i7 7700
500,-,16,Geforce rtx 4070 12gb,Lga1700/ddr4/usb3.2/sa ta3,5.10,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fxfoe.html,1 299 €,I5 13600kf
240,DVD,8,Nvidia geforce 210,Dell 0d6h9t,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/difcf.html,50 €,I5-2400
1000,-,32,Zotac gaming twin edge oc rtx 4070 12gb,Asus Prime B650-Plus,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fcobi.html,1 420 €,Ryzen 5 7600X
1000,-,16,Radeon Rx Vega 11 Core Ddr4,Amd a320 fsb9200mts,3800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ekopj.html,349 €,Ryzen5 3400G
1000,-,16,Intel uhd630 4gb ddr4 dx12,Intel H310 Fsb8000Mts,4900,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mhjld.html,459 €,Core i9-9900
1000,-,16,"Intel uhd750 graphics on 4gb ddr4, dx12",H610 fsb8000mts,5100,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/engbe.html,739 €,Core i9-12900
240,-,16,Asus Gtx 1070Ti,Gigabyte h310m s2h lga-1151,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ejxkk.html,450 €,Intel i5 8600
,,,,,,,"Ogre un raj., Ogre",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnihhl.html,,
500,-,16,Geforce rtx 4060 8gb,Gigabyte,4.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dhxnk.html,899 €,I5-13400F
512,-,16,Msi geforce rtx 3060 ti ventus 2x,Gigabyte b760m gaming x ddr4,3.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fpbpb.html,1 150 €,I3-12100F
500,DVD-RW,8,Geforce gtx 550 ti 2gb,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fjmmb.html,210 €,Intel Core I7
1000,-,16,Geforce Rtx4070 12Gb Gddr6 14.000Mhz,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bdxxxk.html,1 259 €,Core i9-11900
480,-,16,Msi ventus gtx 1660 ti 6gb,Gigabyte h510m s2h v2,4.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/femdo.html,400 €,I3 - 10100f
512,-,16,"Gigabyte, radeon rx 5500 xt 8gb",Asus b450-plus,4.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gonbd.html,500 €,Ryzen 5 5500
1000,-,16,Gigabyte gaming oc rtx 3060 ti 8gb,Arock X370 Pro4,4.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fddfm.html,750 €,Ryzen 7 5700X
512,-,24,24,10,3.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fjobb.html,2 500 €,Max
1000,-,16,Geforce rtx3060 12gb ggdr6,H110 fsb8000mts usb/sata3,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fopgi.html,649 €,Core i7-7700
256,DVD,8,Intel Hd Graphics 530,Intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fibcd.html,130 €,I5-6500
320,DVD-RW,8,Geforce gtx 570,Ga-Ep43T-Ud3L,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ckpng.html,75 €,Xeon E5450
1000,-,16,Intel uhd770 4gb ddr4 dx12.1,New intel h610 fsb8000mts,5800,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/goxlp.html,1 129 €,Core i9-13900
1000,-,16,Geforce Rtx 4060 8Gb,Socket am5 / ddr5 / pci-e 5.0,5.30,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mojop.html,1 099 €,Ryzen 5 7600X
256,DVD,16,1Gb hdmi/vga/dvi,Dell,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ebplj.html,125 €,I7-2600K
256,DVD,8,Hd graphics 4600,Intel,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efeni.html,150 €,I7-4770
1000,CD,16,Gtx 970,Msi,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lphjf.html,670 €,Intel I76700
1000,-,16,Radeon rx vega 8 core 4gb dddr4 dx11,Amd b450 fsb9200mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fehlp.html,489 €,Ryzen 5 5650G
3000,-,16,Rtx 2080 super,Gigabyte Technology Co.,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/lpdfi.html,1 000 €,Intel Core 7
256,DVD,8,Hd graphics 2000,Dell,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ecoxh.html,110 €,I7-2600
256,-,8,Intel uhd graphics 600,Неизв.,2.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edjdp.html,175 €,Intel N4100
2000,-,32,Geforce Rtx3060 12Gb Gddr6 12.000Mhz,H410 fsb8000mts usb/sata3,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/cnlhf.html,1 029 €,Core i9-11900
1000,DVD-RW,8,Nvidia geforce gt 1030,Dell ohy9jp,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/enkge.html,50 €,Intel i7-2600
240,-,16,1080 Ti,X470-I gaming,3.90,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dfdde.html,700 €,Ryzen 5 2600
