"HDD apjoms, Gb:",DVD:,"Operatīvā atmiņa, Gb:",Video:,Pamat plate:,"Procesora frekvence, Ghz:",Stāvoklis:,Atrašanās vieta:,Darba dienas:,URL,Cena,Procesors:
4000,-,64,Geforce rtx4090 24gb gddrx,Z790 Gaming X Ddr5,6000,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dkioh.html,4 439 €,Core i9-13900
1000,-,16,"Intel uhd750 graphics on 4gb ddr4, dx12",H610 fsb8000mts usb/sata3,5400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpmnne.html,899 €,Core i7-13700
256,DVD-RW,8,Intel Hd Pro,Hp pro intel,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/heecd.html,100 €,I5-6500
500,-,12,Geforce gtx 1050 ti 4gb,Asrock fm2a88m-hd+,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gfbmc.html,230 €,Athlonx4 860k
1000,-,8,Geforce gt730 4gb gddr5,H410 fsb4800mts,4400,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gdgko.html,399 €,Core i5 11400
256,CD-RW,16,Nvidia geforce 1050 ti,Windows 10 pro,3.00,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dngpn.html,240 €,Intel Core i5
1000,-,16,3060 ti 8gb,B450M-A ii,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dxnoj.html,900 €,Ryzen 5 3600
1500,CD-RW,32,Amd radeon r9 390 8gb,O,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/doenj.html,370 €,Amd ryzen 7
,,,,,,,"Rīga, Cits",Darbadienas + sest.,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bnbhhi.html,,
250,DVD-RW,4,Intel hd graphics,Asrock,2800,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dpfpl.html,31 €,Core dual 2
1000,-,16,Gtx 1660 super,Nzxt N7 Z390,2.80,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gmcfe.html,480 €,I5 8400
756,DVD-RW,16,"Gtx1650, 4gb",Asus h97-plus,3.40,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/mxnkj.html,195 €,I5 4460
1256,DVD-RW,16,"Gtx1060, 6gb",Gigabyte h310m ds2,3.60,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ehmno.html,235 €,I3 8100
500,-,16,Nvidia geforce gt1030,Dell 0gy6y8,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gkgpf.html,180 €,I5-4590
1000,-,16,Geforce rtx3060 12gb gddr6,H110 fsb4800mts,4200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gcllo.html,649 €,Core i7-7700
500,DVD-RW,4,Intel Hd Graphics,123,3.30,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dxkkd.html,85 €,Inteli3-2120
500,DVD-RW,4,Intel Hd Graphics,123,3.10,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/dcfnb.html,112 €,Inteli5-2400
240,DVD-RW,16,Nvidia quadro k1200 4 gb,123,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/emilj.html,307 €,Inteli5-4570
1000,DVD,16,Intel Hd2500 2Gb,Intel H61 4800Mts,3600,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gidjx.html,99 €,Core i5 3470
1000,-,16,Intel uhd630 4gb ddr4,Intel H310 Fsb8000Mts,4600,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/bpmnif.html,399 €,Core i7-8700
480,-,8,Intel hd,Dell,3.20,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/epxdx.html,169 €,Intel Core i5
240,DVD-RW,8,Intel hd,Dell,3.40,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/gchkk.html,189 €,Intel Core i5
240,CD-RW,8,Intel hd,Lenovo,3.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/fkmkj.html,249 €,Intel Core i3
256,-,16,Intel hd,Dell,3.50,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/ibgox.html,289 €,Intel Core i5
120,-,8,Intel hd 530,Fujitsu,3.70,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/efidp.html,95 €,I3-6100
500,DVD-RW,8,Gt730,Hp q77,3.20,lietota,,,https://www.ss.lv/msg/lv/electronics/computers/pc/feljh.html,100 €,I5-3470
500,DVD,16,Rx 570-4 gb,Jingsha,2.60,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/edcpx.html,400 €,Xeon e5 2650v
,,,,,,,"Rīga, Cits",Katru dienu,https://www.ss.lv/msg/lv/electronics/computers/repairing-pcs/repairing-pcs/bmogcg.html,,
1000,-,32,Geforce rtx3070 8gb ggdr6,Intel H410 8000Mts,5200,jaun.,,,https://www.ss.lv/msg/lv/electronics/computers/pc/keilh.html,1 099 €,Core i9-11900
