Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Brīvības 209 [Karte],50 000 € (1 470.59 €/m²),4/5,centrs,P. kara,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahcxe.html,
Prūšu 22-4 [Karte],32 500 € (792.68 €/m²),4/5,Ķengarags,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/fdigk.html,"Balkons, Parkošanas vieta"
Zāģeru 6 [Karte],22 500 € (803.57 €/m²),1/3,Sarkandaugava,P. kara,,1,28 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/gdffp.html,
Dzelzavas 110 [Karte],125 000 € (2 604.17 €/m²),7/7/lifts,Purvciems,Jaun.,,2,48 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bpmee.html,"Balkons, Parkošanas vieta"
Upes 2 [Karte],199 000 € (1 275.64 €/m²),5/5,centrs,Staļina,,5,156 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/clbci.html,Terase
Brīvības 80 [Karte],209 000 € (2 548.78 €/m²),4/4,centrs,P. kara,01009164150,4,82 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aheij.html,
Ādama 13 [Karte],53 000 € (679.49 €/m²),1/2,Bolderāja,Specpr.,,3,78 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/epoox.html,"Terase, Parkošanas vieta"
Blaumaņa 26 [Karte],149 000 € (1 773.81 €/m²),3/6,centrs,P. kara,,4,84 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aaaip.html,
Ruses 14 [Karte],135 000 € (1 406.25 €/m²),1/9/lifts,Zolitūde,119.,,4,96 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/gnkdx.html,Parkošanas vieta
Juglas 2e [Karte],150 000 € (1 456.31 €/m²),8/8/lifts,Jugla,Specpr.,,3,103 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/ambhx.html,"Balkons, Lodžija, Parkošanas vieta"
Endzelīna 7 [Karte],75 300 € (941.25 €/m²),10/10/lifts,Zolitūde,119.,,3,80 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/aixof.html,Balkons
Bieziņa 4 [Karte],71 500 € (1 232.76 €/m²),8/9/lifts,Zolitūde,119.,,2,58 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/bippd.html,Lodžija
Kuģu 13 [Karte],151 900 € (3 038 €/m²),4/6/lifts,Āgenskalns,Jaun.,,2,50 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/acphf.html,
Emmas 28 [Karte],41 860 € (1 268.48 €/m²),2/4,Vecmīlgrāvis,Renov.,,2,33 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/aebck.html,
Kuģu 13 [Karte],222 400 € (3 088.89 €/m²),2/6/lifts,Āgenskalns,Renov.,,3,72 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/gpioh.html,
Trijādības 4a [Karte],72 000 € (1 714.29 €/m²),4/5,Klīversala,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/dbbgm.html,
Birznieka-Upīša 10a [Karte],130 000 € (2 452.83 €/m²),4/6/lifts,centrs,Renov.,,2,53 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/googp.html,
