Iela:,Cena,Stāvs:,Rajons:,Sērija:,Kadastra numurs:,Istabas:,Platība:,Mājas tips:,Pilsēta:,URL,Ērtības:
Katrīnas d. 22 [Karte],92 600 € (1 403.03 €/m²),1/4,centrs,Specpr.,,3,66 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ecikp.html,Parkošanas vieta
Dombrovska 39 [Karte],93 000 € (1 192.31 €/m²),2/9/lifts,Vecmīlgrāvis,602.,,4,78 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bcnhf.html,Lodžija
Maskavas 281 [Karte],45 000 € (1 323.53 €/m²),12/12,Ķengarags,Čehu pr.,,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/acpbj.html,
Aptiekas 8 [Karte],74 900 € (1 188.89 €/m²),1/5,Sarkandaugava,Specpr.,,4,63 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/olhme.html,Parkošanas vieta
Ezermalas 25 [Karte],73 000 € (1 403.85 €/m²),2/12/lifts,Mežaparks,Čehu pr.,,2,52 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhapark/bphpe.html,Lodžija
Silikātu 1 k-1 [Karte],31 500 € (768.29 €/m²),3/4,Bolderāja,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/djldl.html,
Maskavas 317 [Karte],35 000 € (992.34 €/m²),10/11/lifts,Ķengarags,Specpr.,,1,35.27 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dpxgj.html,Lodžija
J. Daliņa 8 [Karte],540 000 € (2 700 €/m²),20/24/lifts,centrs,Jaun.,,5,200 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/exigb.html,"Terase, Parkošanas vieta"
Brīvības gatve 367 [Karte],59 000 € (1 285.40 €/m²),4/5,Jugla,Hrušč.,,2,45.90 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/bdife.html,Balkons
Saharova 17 [Karte],50 000 € (1 101.32 €/m²),6/12/lifts,Pļavnieki,104.,,1,45.40 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/gdxhc.html,Lodžija
Esplanādes 6 [Karte],35 000 € (660.38 €/m²),5/5,Daugavgrīva,103.,,2,53 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/daugavgriva/bxdif.html,Lodžija
Lejiņa 20 [Karte],69 000 € (920 €/m²),1/9,Zolitūde,119.,,3,75 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/akige.html,Lodžija
Briāna 14 [Karte],106 000 € (1 492.96 €/m²),2/4,centrs,P. kara,,4,71 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aexen.html,Parkošanas vieta
Pļaviņu 25 [Karte],34 800 € (710.20 €/m²),2/5,Krasta r-ns,Specpr.,,2,49 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/efilh.html,Balkons
Vecmīlgrāvja 1. l. 8 [Karte],77 000 € (1 115.94 €/m²),1/3,Vecmīlgrāvis,Staļina,,4,69 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/dilni.html,
Rostokas 54 [Karte],83 500 € (1 043.75 €/m²),8/9/lifts,Zolitūde,119.,,3,80 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/coego.html,"Balkons, Lodžija, Parkošanas vieta"
Čaka 26 [Karte],114 100 € (2 782.93 €/m²),4/6,centrs,Renov.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/epepk.html,Balkons
Ikšķiles 3 [Karte],42 500 € (745.61 €/m²),5/5,Ķengarags,Hrušč.,,3,57 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bbjfln.html,"Balkons, Parkošanas vieta"
Čaka 26 [Karte],110 500 € (2 695.12 €/m²),2/6,centrs,Renov.,,2,41 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahklp.html,Balkons
Čaka 26 [Karte],73 400 € (2 823.08 €/m²),5/6,centrs,Renov.,,1,26 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/abdjg.html,
Merķeļa 6 [Karte],180 000 € (2 142.86 €/m²),3/5,centrs,P. kara,,3,84 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bined.html,Parkošanas vieta
Čaka 26 [Karte],272 540 € (2 252.40 €/m²),7/7/lifts,centrs,Renov.,,4,121 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ebcpd.html,Terase
Brīvības gatve 308 [Karte],86 000 € (1 829.79 €/m²),4/4,Teika,P. kara,,2,47 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/ghbhp.html,Parkošanas vieta
Sliežu 9a [Karte],39 500 € (1 161.76 €/m²),3/5,Sarkandaugava,103.,,1,34 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/cgmjb.html,
Kurzemes pr. 76 [Karte],44 500 € (890 €/m²),1/5,Imanta,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/cbmgk.html,
Zalves 35 [Karte],245 000 € (1 794.87 €/m²),4/4,Šampēteris-Pleskodāle,Jaun.,,5,136.50 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/bhgfj.html,"Balkons, Terase, Parkošanas vieta"
Anniņmuižas bulvāris 88 [Karte],33 800 € (1 024.24 €/m²),6/9/lifts,Imanta,467.,,1,33 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bximi.html,Parkošanas vieta
Čiekurkalna 7. šķ l. 3 [Karte],15 500 € (1 192.31 €/m²),2/2,Čiekurkalns,Renov.,,1,13 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/bkboc.html,
Valdemāra 73 [Karte],238 000 € (2 428.57 €/m²),5/5,centrs,P. kara,,3,98 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahpbg.html,
Vēžu 9 [Karte],62 000 € (1 265.31 €/m²),1/5,centrs,Hrušč.,,2,49 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gxjio.html,
Ģertrūdes 78 [Karte],68 900 € (1 325 €/m²),2/5,centrs,103.,,2,52 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dodlb.html,Lodžija
Slokas 130a [Karte],199 000 € (2 426.83 €/m²),4/8/lifts,Imanta,Jaun.,,3,82 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bcngp.html,
Ernestīnes 8 [Karte],49 000 € (1 042.55 €/m²),1/5,Āgenskalns,Specpr.,,1,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/efhom.html,
Aizkraukles 30 [Karte],72 000 € (1 469.39 €/m²),3/3,Teika,Hrušč.,,2,49 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/aeipg.html,Parkošanas vieta
Buļļu 40b [Karte],33 500 € (797.62 €/m²),3/5,Iļģuciems,Hrušč.,,2,42 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/hhchn.html,
Tallinas 57 k-1 [Karte],42 000 € (560 €/m²),1/3,centrs,P. kara,,5,75 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/abmgi.html,Parkošanas vieta
Ģertrūdes 71 [Karte],260 000 € (2 000 €/m²),6/6,centrs,P. kara,,4,130 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/eofnc.html,"Terase, Parkošanas vieta"
Ganu 6 [Karte],230 000 € (2 395.83 €/m²),5/6,centrs,P. kara,,4,96 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dmdxb.html,Parkošanas vieta
Biķernieku 258 [Karte],30 000 € (892.86 €/m²),2/2,Brekši,P. kara,,1,33.60 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/breksi/cbmenp.html,
Kliņģeru 2 [Karte],76 000 € (1 288.14 €/m²),1/3,Āgenskalns,P. kara,,2,59 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/icmjk.html,Terase
Lokomotīves 62 [Karte],36 000 € (734.69 €/m²),5/5,Ķengarags,LT proj.,,2,49 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/akxge.html,Lodžija
Jersikas 21 [Karte],39 000 € (1 857.14 €/m²),3/4,Maskavas priekšpilsēta,Renov.,,1,21 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/cxhgm.html,Parkošanas vieta
Jersikas 21 [Karte],85 000 € (1 574.07 €/m²),1/4,Maskavas priekšpilsēta,Renov.,,3,54 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bemixp.html,Parkošanas vieta
Jersikas 21 [Karte],99 000 € (1 523.08 €/m²),3/4,Maskavas priekšpilsēta,Renov.,,3,65 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bcnihm.html,Parkošanas vieta
Dzelzavas 110 [Karte],114 000 € (2 425.53 €/m²),7/7,Purvciems,Jaun.,,2,47 m²,Paneļu - ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gexdm.html,"Balkons, Parkošanas vieta"
Limbažu 4k2 [Karte],35 000 € (744.68 €/m²),5/5,Sarkandaugava,Hrušč.,,2,47 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/idflo.html,
Čaka 26 [Karte],312 360 € (2 280 €/m²),7/7/lifts,centrs,Renov.,,4,137 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gxnom.html,"Terase, Parkošanas vieta"
Kaudzīšu 6 [Karte],44 500 € (872.55 €/m²),1/9,Pļavnieki,602.,,2,51 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/gindx.html,
Gaujienas 3a [Karte],23 500 € (652.78 €/m²),2/2,Sarkandaugava,Specpr.,,1,36 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/aibnj.html,"Terase, Parkošanas vieta"
Skrudalienas 6 [Karte],195 000 € (1 930.69 €/m²),2/2,Jugla,Jaun.,,4,101 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/gjcip.html,"Terase, Parkošanas vieta"
Skrudalienas 6 [Karte],206 000 € (2 060 €/m²),2/2,Jugla,Jaun.,,4,100 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/fieob.html,"Terase, Parkošanas vieta"
Endzelīna 5 [Karte],65 900 € (1 098.33 €/m²),5/9,Zolitūde,119.,,2,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/bfiii.html,Parkošanas vieta
Valdemāra 34 [Karte],209 000 € (2 402.30 €/m²),2/6/lifts,centrs,P. kara,,4,87 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aignk.html,Parkošanas vieta
Lāčplēša 24 [Karte],79 000 € (3 950 €/m²),2/6/lifts,centrs,Renov.,,1,20 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ckpdp.html,
Vecmīlgrāvja 7 [Karte],23 500 € (1 021.74 €/m²),1/4,Vecmīlgrāvis,Hrušč.,,1,23 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/agkic.html,
Gaujas 19 [Karte],62 500 € (1 157.41 €/m²),1/5,Čiekurkalns,Hrušč.,,3,54 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/chiekurkalns/fkped.html,Parkošanas vieta
Dzelzavas 23 [Karte],79 500 € (1 261.90 €/m²),7/9/lifts,Purvciems,602.,01009078668,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cmmkd.html,"Balkons, Parkošanas vieta"
Juglas 5 [Karte],55 000 € (1 279.07 €/m²),2/5,Jugla,Hrušč.,,2,43 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hixhl.html,
Strēlnieku 7 [Karte],507 000 € (4 783.02 €/m²),4/7/lifts,centrs,Jaun.,,3,106 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cgxmm.html,Parkošanas vieta
Mārupes 8 [Karte],45 000 € (1 800 €/m²),2/4,Āgenskalns,P. kara,01009102986,1,25 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/blegl.html,
Gramzdas 17 [Karte],78 000 € (1 368.42 €/m²),9/9/lifts,Zolitūde,119.,,2,57 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/afinb.html,Lodžija
Prūšu 1 [Karte],38 000 € (863.64 €/m²),5/5,Ķengarags,LT proj.,,2,44 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dkibl.html,
Peitavas 5 [Karte],185 000 € (1 989.25 €/m²),4/5,Vecrīga,P. kara,,2,93 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/aeddd.html,Balkons
Sarmas 7 [Karte],76 700 € (1 198.44 €/m²),2/9,Vecmīlgrāvis,602.,,3,64 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/mebii.html,"Lodžija, Parkošanas vieta"
Tālivalža 21a [Karte],205 000 € (2 113.40 €/m²),5/5,Teika,Jaun.,,4,97 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/fbmho.html,Lodžija
Pavasara g. 5 [Karte],79 000 € (1 039.47 €/m²),8/9/lifts,Pļavnieki,602.,01009039001,4,76 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/dhldg.html,"Lodžija, Parkošanas vieta"
Deglava 164 [Karte],73 500 € (1 097.01 €/m²),2/9/lifts,Pļavnieki,602.,,3,67 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ahbdg.html,"Lodžija, Parkošanas vieta"
Jēkaba 3/5 [Karte],70 000 € (2 916.67 €/m²),1/5,Vecrīga,P. kara,01000080037001010-01,1,24 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/afxfd.html,
Imantas 3a [Karte],75 000 € (1 136.36 €/m²),3/5,Imanta,LT proj.,,3,66 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/dlknn.html,Lodžija
Edžiņa g. 3 [Karte],53 000 € (883.33 €/m²),1/9/lifts,Vecmīlgrāvis,467.,,3,60 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bbmbg.html,Lodžija
Gāles 11 [Karte],148 000 € (907.98 €/m²),1/1,Vecmīlgrāvis,Renov.,,3,163 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/bxlgmf.html,"Terase, Parkošanas vieta"
Amālijas 5a [Karte],116 865 € (2 450 €/m²),1/3,Āgenskalns,Renov.,,2,47.70 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/bxjdhp.html,
Amālijas 5a [Karte],190 000 € (2 676.06 €/m²),3/3,Āgenskalns,Renov.,,3,71.00 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/beikd.html,
Amālijas 5a [Karte],178 750 € (2 465.52 €/m²),2/3,Āgenskalns,Renov.,,3,72.50 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/cxhcc.html,
Amālijas 5a [Karte],199 160 € (2 600 €/m²),2/3,Āgenskalns,Renov.,,3,76.60 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/hfbfp.html,
Birznieka-Upīša 10 [Karte],175 440 € (2 403.29 €/m²),1/5/lifts,centrs,Renov.,,3,73 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxlob.html,Parkošanas vieta
Rostokas 46 [Karte],64 500 € (1 112.07 €/m²),9/5,Zolitūde,119.,,2,58 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ajfmc.html,Lodžija
Skrudalienas 6 [Karte],210 000 € (2 079.21 €/m²),2/2,Jugla,Jaun.,,4,101 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hmndh.html,"Terase, Parkošanas vieta"
Lāčplēša 24 [Karte],131 450 € (2 738.54 €/m²),1/6,centrs,Renov.,,2,48 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bcngm.html,
Katrīnas d. 6 [Karte],86 775 € (1 928.33 €/m²),1/3,centrs,Renov.,,2,45 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dbidk.html,
Piena 2 [Karte],108 790 € (2 266.46 €/m²),3/3,centrs,Renov.,,2,48 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/apmed.html,Parkošanas vieta
Ruses 1 [Karte],91 900 € (957.29 €/m²),2/9/lifts,Zolitūde,119.,01009080450,4,96 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/agmnn.html,"Balkons, Lodžija"
Kurzemes pr. 152 [Karte],57 000 € (904.76 €/m²),5/9/lifts,Imanta,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/emcgi.html,"Lodžija, Parkošanas vieta"
Vecmīlgrāvja 9k1 [Karte],47 000 € (1 620.69 €/m²),4/4,Vecmīlgrāvis,Hrušč.,,1,29 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/ajdkl.html,
Biķernieku 111 [Karte],39 500 € (963.41 €/m²),1/3,Teika,Hrušč.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/gikjx.html,
Ūnijas 30 [Karte],62 149 € (1 172.62 €/m²),4/5,Purvciems,103.,,2,53 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aiiml.html,"Lodžija, Parkošanas vieta"
Bauskas 8 [Karte],109 000 € (1 557.14 €/m²),3/3,Torņakalns,Renov.,,2,70 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/ciogh.html,
Rasas 5a [Karte],143 500 € (1 913.33 €/m²),4/5/lifts,Ķengarags,Jaun.,,3,75 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/echpm.html,Lodžija
Lomonosova 12 [Karte],79 000 € (1 755.56 €/m²),2/4,Maskavas priekšpilsēta,P. kara,,2,45 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bcixoe.html,"Balkons, Parkošanas vieta"
Vecmīlgrāvja 1. l. 26 [Karte],42 000 € (608.70 €/m²),1/5,Vecmīlgrāvis,LT proj.,,3,69 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/comem.html,Lodžija
Āraišu 38 [Karte],196 000 € (2 107.53 €/m²),3/4/lifts,Teika,Specpr.,,3,93 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/afdgf.html,"Balkons, Lodžija"
Kuģu 26 [Karte],260 000 € (3 132.53 €/m²),5/6,Klīversala,Jaun.,,2,83 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/chpmx.html,Lodžija
Kalniņa 2 [Karte],220 000 € (2 558.14 €/m²),6/6/lifts,centrs,P. kara,,3,86 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fxedk.html,
Smilšu 10 [Karte],450 000 € (3 435.11 €/m²),5/6/lifts,Vecrīga,Renov.,,3,131 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/bxkjk.html,
Dravnieku 6 [Karte],48 000 € (960 €/m²),5/9/lifts,Pļavnieki,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ahccj.html,Lodžija
Struktoru 5 [Karte],72 380 € (1 204.33 €/m²),3/3,Teika,Renov.,,3,60.10 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/dkjgb.html,Parkošanas vieta
Struktoru 5 [Karte],38 570 € (940.73 €/m²),1/3,Teika,Renov.,,2,41 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/bcjce.html,Parkošanas vieta
Valguma 24 [Karte],53 000 € (1 261.90 €/m²),3/5,Klīversala,Hrušč.,,2,42 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kliversala/cmjmd.html,
Silciema 15/k3 [Karte],52 500 € (1 166.67 €/m²),4/5,Jugla,Hrušč.,,2,45 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/aghhf.html,"Balkons, Parkošanas vieta"
Zvaigžņu 31 [Karte],58 500 € (1 462.50 €/m²),2/3,centrs,P. kara,,2,40 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahexl.html,
Kalnciema 47 [Karte],48 000 € (1 263.16 €/m²),1/5,Āgenskalns,Hrušč.,,2,38 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dgcoh.html,
Buļļu 3a [Karte],46 200 € (1 050 €/m²),3/4,Iļģuciems,Hrušč.,,2,44 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/bbkmg.html,Parkošanas vieta
Putnu 8 [Karte],42 500 € (1 036.59 €/m²),2/3,Ziepniekkalns,Specpr.,,2,41 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/agjnc.html,
Stūres 7 [Karte],63 000 € (926.47 €/m²),5/5,Iļģuciems,LT proj.,,3,68 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/dbimo.html,
Tekstilnieku 13 [Karte],14 500 € (498.28 €/m²),1/2,Bolderāja,P. kara,0100 921 3952,1,29.10 m²,Koka,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/bolderaya/gjeni.html,
Ciemupes 2 [Karte],167 800 € (1 747.92 €/m²),6/8/lifts,Jugla,Jaun.,,4,96 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/aiofc.html,"Lodžija, Terase, Parkošanas vieta"
Vadakstes 20 [Karte],32 000 € (941.18 €/m²),5/5,Ziepniekkalns,Hrušč.,01009146315,1,34 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/anlfl.html,Balkons
Rušonu 30 [Karte],42 000 € (893.62 €/m²),2/5,Ķengarags,Specpr.,,2,47 m²,Ķieģeļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aiokk.html,"Balkons, Parkošanas vieta"
Ziepniekkalna 64/1 [Karte],120 000 € (1 500 €/m²),1/5,Ziepniekkalns,Jaun.,,2,80 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/apxme.html,
Kaivas 50/1 [Karte],97 000 € (1 940 €/m²),1/5/lifts,Mežciems,Jaun.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/hdeee.html,"Balkons, Parkošanas vieta"
Dainas 10a [Karte],164 900 € (2 703.28 €/m²),2/7/lifts,centrs,Jaun.,,3,61 m²,Mūra,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/echkc.html,Balkons
Lubānas 56 [Karte],48 000 € (786.89 €/m²),5/9/lifts,Pļavnieki,467.,01009132081,3,61 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/bikgi.html,Lodžija
Malienas 70 [Karte],58 000 € (1 000 €/m²),2/5,Jugla,Hrušč.,,3,58 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/exlkf.html,
Vaidelotes 4 [Karte],43 000 € (860 €/m²),8/9,Iļģuciems,602.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/ffhdx.html,
Zentenes 24 [Karte],66 000 € (1 320 €/m²),3/5,Imanta,LT proj.,,2,50 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/ggngj.html,Lodžija
Melīdas 11 [Karte],28 500 € (890.63 €/m²),8/9/lifts,Vecmīlgrāvis,467.,,1,32 m²,Ķieģeļu-paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecmilgravis/affpf.html,
Ulbrokas 22 [Karte],58 900 € (934.92 €/m²),8/9,Pļavnieki,602.,,3,63 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aalxk.html,Lodžija
Maskavas 268 k2 [Karte],40 000 € (869.57 €/m²),1/5,Ķengarags,LT proj.,,2,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bdmigo.html,"Lodžija, Parkošanas vieta"
Maskavas 237a [Karte],42 000 € (1 000 €/m²),5/5,Krasta r-ns,Hrušč.,,2,42 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/ajill.html,Parkošanas vieta
Maskavas 258/7 [Karte],46 000 € (1 000 €/m²),4/5,Ķengarags,LT proj.,,2,46 m²,Paneļu,Rīga,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dbccc.html,"Balkons, Parkošanas vieta"
